user_id,name,date,amount,recurring,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,602 Coffee House,2022-08-05,12.37,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,7-Eleven,2022-02-14,38.91,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,7-Eleven,2022-02-25,19.19,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,7-Eleven,2022-02-25,24.51,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,7-Eleven,2022-08-08,1.93,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,7-Eleven,2022-11-03,2.26,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,7-Eleven,2023-11-27,1.49,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,7-Eleven,2023-11-28,2.98,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,7-Eleven,2024-01-16,4.7,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,7-Eleven,2024-02-01,3.29,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,7-Eleven,2024-02-12,1.29,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,7-Eleven,2024-06-20,3.98,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,7-Eleven,2024-09-23,1.49,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,7-Eleven,2024-10-04,2.99,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,7-Eleven,2024-10-21,1.39,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,7-Eleven,2024-11-12,2.99,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,7-ele Www.doordash.,2024-11-27,5.73,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,76 Gas Stations,2024-08-19,10,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,A Cut Above The Falls,2023-06-22,48,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,ARCO,2024-10-29,29.99,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Abracadabra's,2022-03-21,4.29,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Abracadabra's,2023-01-26,22.26,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Abracadabra's,2023-02-02,26.21,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Abracadabra's,2023-07-24,19.08,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Abracadabra's,2023-09-05,22.17,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Adam and Eve,2023-01-18,127.18,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Adam and Eve,2023-07-14,26.49,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Adobe,2022-06-23,14.99,1,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Adobe,2022-07-18,14.99,1,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Adobe,2022-08-18,14.99,1,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Adobe,2022-12-23,19.99,1,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Adobe,2023-01-23,19.99,1,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Adobe,2023-02-21,19.99,1,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Adobe,2023-03-16,0.97,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Adobe,2023-03-20,14.99,1,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Adobe,2023-03-21,19.99,1,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Adobe,2023-04-18,14.99,1,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Adobe,2023-04-21,19.99,1,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Adobe,2023-05-18,14.99,1,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Adobe,2023-05-22,19.99,1,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Adobe,2023-06-20,19.99,1,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Adobe,2023-06-21,19.99,1,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Adobe,2023-07-18,19.99,1,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Ae Retail West,2023-03-17,13,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Ae Retail West,2023-10-06,44.48,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Agave Grill Inc,2022-04-29,24.29,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Alberto Mex Food,2022-08-17,5.97,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Alberto Mex Food,2022-09-06,15.32,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Alberto Mex Food,2023-06-08,17.65,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Alberto Mex Food,2023-06-29,12.71,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Albertsons,2022-02-17,17.23,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Albertsons,2022-03-29,39.67,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Albertsons,2022-03-31,35.23,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Albertsons,2022-04-25,35.15,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Albertsons,2022-04-29,32.07,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Albertsons,2022-05-17,37,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Albertsons,2022-05-25,4.66,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Albertsons,2022-07-18,68.17,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Albertsons,2022-07-26,5.29,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Albertsons,2022-07-27,26.26,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Albertsons,2022-08-19,42.83,,
LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Albertsons,2022-11-14,37.47,,
